,state_name,total_households_applied_for_job_card,total_job_cards_issued,total_job_cards_(sc),total_job_cards_(st),total_job_cards_(non-sc/st),total_households_demanded_work,total_persons_demanded_work,total_households_allotted_work,total_persons_allotted_work,total_muster_rolls_filled,total_households_worked,total_persons_worked,total_households_reached_100_day_limit,total_persons_with_disability,total_households_worked_(non-sc/st),total_person-days_worked_(non-sc/st),total_sc_households_worked,total_person-days_worked_by_scs,total_st_households_worked,total_person-days_worked_by_sts,total_land_reform/iay_households_worked,total_person-days_worked_by_women,total_person-days,total_sc_households_over_100_day_limit,total_st_households_over_100_day_limit,total_households_demanded_work,total_persons_demanded_work,total_households_worked,total_persons_worked,"labour_exp._(disbursed,_rs._in_lakhs)","material_exp._(disbursed,_rs._in_lakhs)","labour_exp._(disbursed_+_pending,_rs._in_lakhs)","material_exp._(disbursed_+_pending,_rs._in_lakhs)",amount_sanctioned_(rs._in_lakhs),total_works,total_bank_accounts,total_individual_bank_accounts,total_joint_bank_accounts,amount_disbursed_to_bank_accounts,total_post_office_accounts,total_individual_post_office_accounts,total_joint_post_office_accounts,amount_disbursed_to_post_office_accounts,year,month
0,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
1,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
2,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
3,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
4,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
5,ANDHRA PRADESH,7166470,7166470,1768221,600513,4797736,0,0,0,0,2277681,2914172,5204756,631290,52140,1813681,104469466,786499,49667773,313570,28964178,747146,103403566,183101417,0,0,0,0,0,0,286460.21,88364.51,286684.52,88365.52,210979076287.84,7504509.0,0,0,0,0,0,0,0,0,2011-2012,January
6,ARUNACHAL PRADESH,163974,159779,84,145256,14439,14979,16081,8527,8557,265,4443,4473,0,1,20,69,1,3,4422,72807,88,24977,72879,0,0,401,410,403,4108,46.47,0.0,71.43,2.87,2023.58,4217.0,51581,50223,1358,6817332,93480,88384,5096,289218,2011-2012,January
7,ASSAM,3949587,3942091,238692,649816,3053583,1355103,1614185,1354996,1614074,486632,1349078,1606192,15750,2256,998676,25266362,80439,1977589,269963,8018997,23696,8796870,35262948,755,6080,285987,315769,285572,3309156,45927.39,22528.47,45980.81,22557.06,366001486.85,264881.0,1115050,938934,176116,1841747792,1417936,1279361,138575,2266244645,2011-2012,January
8,BIHAR,12698704,12631893,3016896,193747,9421250,1805317,2357361,1797592,2346865,2568657,1769469,2307642,170227,4748,1287786,49926376,448142,17073233,33541,1216160,5366,19687045,68215769,38698,1918,122192,142913,182184,3407137,69417.5,55226.33,88205.65,66064.1,2239641628.82,1499264.0,309812,255275,54537,305984890,4334170,3668579,665591,8504171028,2011-2012,January
9,CHHATTISGARH,4402364,4390536,460416,1467064,2463056,2739202,5967863,2740432,5970957,1941326,2725027,5911119,207643,30960,1485904,63393459,278156,11703666,960967,45578537,8778,55720356,120675662,17973,93490,815199,1329655,811002,11807792,146353.18,47797.18,147985.85,49633.43,58729537.9,1283086.0,2346648,2285677,60971,4684177715,4762046,4584798,177248,8269583918,2011-2012,January
10,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
11,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
12,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
13,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
14,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
15,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
16,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
17,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
18,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
19,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
20,GOA,32616,29934,746,8826,20362,11174,11757,11174,11757,3250,11167,11748,143,3,8293,234742,343,10350,2531,65809,11,235189,310901,6,36,1557,1588,1546,12274,489.65,150.98,490.4,154.65,1442.81,6729.0,16861,16701,160,50238812,5,5,0,0,2011-2012,January
21,GUJARAT,4084953,4082518,345563,1337688,2399267,836961,1945400,836903,1945288,385584,822080,1902979,41767,26576,411559,16191518,62611,2451228,347910,12657222,27051,14461828,31299968,4049,15517,142830,253973,129385,2217913,34910.65,24836.48,34922.16,24888.52,58759896.59,674035.0,610925,382075,228850,777958042,1972313,1170647,801666,2405571840,2011-2012,January
22,HARYANA,677854,677314,335171,115,342028,278471,473722,278471,473722,111723,277748,471845,13742,297,131672,5465892,145981,5466900,95,3248,740,3987337,10936040,6595,2,71171,103775,71059,1068186,19323.13,10238.49,19323.49,10238.78,1189999.44,129566.0,554017,363931,190086,1553224863,59021,41036,17985,160768725,2011-2012,January
23,HIMACHAL PRADESH,1106662,1106283,305469,66061,734753,529187,659855,529194,659896,192276,505467,623416,48043,2080,324708,17320067,148508,8042128,32251,1650637,10715,16033760,27012832,14908,2288,165041,178382,143990,2079739,32265.24,14623.86,32568.41,14652.02,2564854297.7,371744.0,335751,312178,23573,1312497752,63131,59372,3759,226090016,2011-2012,January
24,JAMMU AND KASHMIR,982755,863615,68741,136870,658004,440254,619449,436687,614541,181778,431146,605007,37050,3444,328133,16134513,32903,1406929,70116,3368872,5627,3895806,20910314,2225,4781,87884,105485,106188,2156289,22565.49,14886.34,24714.44,18701.13,55727547.49,370672.0,673744,580551,93193,1546209882,38048,29748,8300,137952586,2011-2012,January
25,JHARKHAND,4040997,4029868,544400,1508085,1977383,1582170,2578777,1582182,2578788,1213241,1574657,2561270,58080,7829,737734,29073722,195509,7814556,641414,24082517,10800,19126838,60970795,7583,22504,370072,525543,384365,5454312,73372.07,35245.1,73407.24,35434.41,77285258.54,1149469.0,464580,370129,94451,697691834,2825399,2104555,720844,6295642799,2011-2012,January
26,KARNATAKA,5591526,5585405,962857,467211,4155337,1663498,4591902,1663351,4591450,324050,1652116,4550123,45144,6440,1246720,53217076,269779,11074331,135617,5811334,23675,32340909,70102741,6869,3277,394718,917921,367524,9284741,95653.25,56036.13,97441.6,56851.54,18307855.09,2005069.0,2980946,1075042,1905904,8595856885,1108876,448605,660271,3648201051,2011-2012,January
27,KERALA,1886774,1877027,235046,40777,1601204,1418062,1565111,1418055,1565095,1669662,1416441,1562991,124821,1391,1182876,51888165,200330,9885045,33235,1536400,13092,58828359,63309610,19589,2789,806882,851845,749917,7752146,97167.22,3289.16,97207.4,3291.65,893604.56,960768.0,1673450,1658470,14980,7707894255,175058,173881,1177,889940347,2011-2012,January
28,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
29,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
30,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
31,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
32,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
33,MADHYA PRADESH,11977840,11971776,1839021,2746339,7386416,3895759,8603177,3893714,8597609,1551044,3879959,8543387,304477,10744,1989563,85991248,755524,33936191,1134872,48970458,20432,72398492,169434718,66750,88243,1171379,2027016,1167196,17897739,192554.43,125891.67,196023.54,130799.56,2530970286.48,2814180.0,2984510,1893951,1090559,6831088295,1537403,1016403,521000,3643829262,2011-2012,January
34,MAHARASHTRA,6905886,6797949,591358,884478,5322113,1520457,2909557,1518243,2904675,771486,1504521,2872762,197185,33185,1116046,55935642,114627,6059332,273848,15206883,21133,35454207,77201857,15890,39973,519392,922619,517038,10981664,108950.04,40056.74,110780.26,41109.86,522012020.75,1389293.0,1099291,999907,99384,1835674612,2781978,2608339,173639,9040607337,2011-2012,January
35,MANIPUR,472204,461020,8710,231262,221048,380571,446039,377855,443224,145351,356264,419362,112239,419,152502,6634236,3244,149499,200518,15623675,100,7568409,22407410,172,103567,66111,72447,81729,1141385,26544.37,1979.22,28063.78,3958.61,456796.41,44884.0,33344,30169,3175,0,155971,121731,34240,0,2011-2012,January
36,MEGHALAYA,457540,457113,4000,418081,35032,335781,470820,335616,470582,180341,335182,468573,35181,215,22150,1061148,3065,107728,309967,15606204,3346,6991911,16775080,29,34250,90426,110645,90172,1425300,19339.54,8592.98,19381.98,8602.8,37795330.08,106544.0,80301,65414,14887,0,55186,49081,6105,0,2011-2012,January
37,MIZORAM,190099,190089,166,189453,470,175688,185453,168734,177310,38663,168731,171717,75524,70,478,33213,41,2978,168192,13023567,3491,3166664,13059758,18,72402,159388,159391,136107,2089507,15237.28,5259.38,16868.6,5428.28,5303552.78,46665.0,19430,12439,6991,228479059,91301,43069,48232,731460744,2011-2012,January
38,ANDAMAN AND NICOBAR,45396,45396,4,2555,42837,19912,23586,19905,23574,22365,19300,22761,2205,44,18475,796646,2,14,823,33043,13,384593,829703,0,64,5956,6437,6834,89693,1428.93,14.87,1457.82,14.87,293338401.99,5781.0,11532,10801,731,25418828,942,934,8,883274,2011-2012,January
39,DADRA & NAGAR HAVELI,7845,1726,1,1703,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44.6,7.0,0,0,0,0,0,0,0,0,2011-2012,January
40,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,2011-2012,January
41,LAKSHADWEEP,8254,8162,8,8062,92,3891,4290,3889,4287,1254,3871,4264,133,5,40,1860,7,285,3824,162723,1,65397,164868,0,132,482,489,653,12720,196.55,5.56,232.12,6.81,2720.6,627.0,159,159,0,723681,5982,5956,26,18003310,2011-2012,January
42,NAGALAND,384478,384478,3530,353590,27358,370590,402015,370521,401961,18700,370483,401173,81790,87,21656,1612989,3498,208010,347695,27840077,227,7949994,29661076,180,77127,241361,242474,236289,2935390,33429.08,18940.22,35004.18,19579.17,303357624.37,112474.0,96550,63136,33414,0,1,1,0,0,2011-2012,January
43,ODISHA,6163936,6151353,1173057,1735153,3243143,1391497,2631257,1391457,2631165,969065,1378597,2597613,47629,3252,620946,20113621,247318,7933674,510333,17327256,21054,17562813,45374551,8427,21095,303743,500986,279310,4112691,55922.37,41120.93,55929.37,41123.41,579808.45,1121729.0,2798831,2145749,653082,2870403011,1727533,1009888,717645,2454529346,2011-2012,January
